FootnoteUrn,Scholion,TextUrn,Image,Number,Folio,SequenceOnFolio
urn:cite:hmt:e3footnotes.11-100,urn:cts:greekLit:tlg5026.e3.hmt:11.98,urn:cts:greekLit:tlg0012.tlg001.e3:11.271@ἔχουσαι,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.6964,0.4083,0.0141,0.0178",12,urn:cite:hmt:e3bifolio.E3_141v_142r,12
urn:cite:hmt:e3footnotes.11-101,urn:cts:greekLit:tlg5026.e3.hmt:11.99,urn:cts:greekLit:tlg0012.tlg001.e3:11.272@δῦνον,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.5967,0.4261,0.0141,0.0178",13,urn:cite:hmt:e3bifolio.E3_141v_142r,13
urn:cite:hmt:e3footnotes.11-102,urn:cts:greekLit:tlg5026.e3.hmt:11.101,urn:cts:greekLit:tlg0012.tlg001.e3:11.273@μένος,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.6306,0.4261,0.0141,0.0178",14,urn:cite:hmt:e3bifolio.E3_141v_142r,14
urn:cite:hmt:e3footnotes.11-103,urn:cts:greekLit:tlg5026.e3.hmt:11.100,urn:cts:greekLit:tlg0012.tlg001.e3:11.274@ἀνόρουσε,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.5826,0.4413,0.0141,0.0178",15,urn:cite:hmt:e3bifolio.E3_141v_142r,15
urn:cite:hmt:e3footnotes.11-104,urn:cts:greekLit:tlg5026.e3.hmt:11.102,urn:cts:greekLit:tlg0012.tlg001.e3:11.276@Ἀργείων,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.5569,0.4905,0.0141,0.0178",16,urn:cite:hmt:e3bifolio.E3_141v_142r,16
urn:cite:hmt:e3footnotes.11-105,urn:cts:greekLit:tlg5026.e3.hmt:11.103,urn:cts:greekLit:tlg0012.tlg001.e3:11.279@εἴασε,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.5121,0.5413,0.0141,0.0178",17,urn:cite:hmt:e3bifolio.E3_141v_142r,17
urn:cite:hmt:e3footnotes.11-106,urn:cts:greekLit:tlg5026.e3.hmt:11.104,urn:cts:greekLit:tlg0012.tlg001.e3:11.282@ἄφρεον,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.5273,0.5891,0.0141,0.0178",18,urn:cite:hmt:e3bifolio.E3_141v_142r,18
urn:cite:hmt:e3footnotes.11-107,urn:cts:greekLit:tlg5026.e3.hmt:11.105,urn:cts:greekLit:tlg0012.tlg001.e3:11.290@ὑπέρτερον,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.3609,0.3189,0.0167,0.0233",1,urn:cite:hmt:e3bifolio.E3_142v_143r,1
urn:cite:hmt:e3footnotes.11-108,urn:cts:greekLit:tlg5026.e3.hmt:11.106,urn:cts:greekLit:tlg0012.tlg001.e3:11.291@μένος,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.3609,0.3189,0.0167,0.0233",2,urn:cite:hmt:e3bifolio.E3_142v_143r,2
urn:cite:hmt:e3footnotes.11-109,urn:cts:greekLit:tlg5026.e3.hmt:11.107,urn:cts:greekLit:tlg0012.tlg001.e3:11.292@θηρητὴρ,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.3333,0.3593,0.0167,0.0233",3,urn:cite:hmt:e3bifolio.E3_142v_143r,3
urn:cite:hmt:e3footnotes.11-110,urn:cts:greekLit:tlg5026.e3.hmt:11.108,urn:cts:greekLit:tlg0012.tlg001.e3:11.297@ὑπεραέϊ,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.3342,0.4421,0.0167,0.0233",4,urn:cite:hmt:e3bifolio.E3_142v_143r,4
urn:cite:hmt:e3footnotes.11-111,urn:cts:greekLit:tlg5026.e3.hmt:11.109,urn:cts:greekLit:tlg0012.tlg001.e3:11.299@τίνα,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.2658,0.473,0.0167,0.0233",5,urn:cite:hmt:e3bifolio.E3_142v_143r,5
urn:cite:hmt:e3footnotes.11-112,urn:cts:greekLit:tlg5026.e3.hmt:11.110,urn:cts:greekLit:tlg0012.tlg001.e3:11.300@Ζεὺς,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.355,0.4888,0.0167,0.0233",6,urn:cite:hmt:e3bifolio.E3_142v_143r,6
urn:cite:hmt:e3footnotes.11-113,urn:cts:greekLit:tlg5026.e3.hmt:11.111,urn:cts:greekLit:tlg0012.tlg001.e3:11.301@Ἀσαῖον,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.2305,0.5067,0.0167,0.0233",7,urn:cite:hmt:e3bifolio.E3_142v_143r,7
urn:cite:hmt:e3footnotes.11-114,urn:cts:greekLit:tlg5026.e3.hmt:11.112,urn:cts:greekLit:tlg0012.tlg001.e3:11.304@ἡγεμόνας,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.3111,0.5571,0.0167,0.0233",8,urn:cite:hmt:e3bifolio.E3_142v_143r,8
urn:cite:hmt:e3footnotes.11-115,urn:cts:greekLit:tlg5026.e3.hmt:11.113,urn:cts:greekLit:tlg0012.tlg001.e3:11.305@ὁπότε,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.3208,0.5733,0.0167,0.0233",9,urn:cite:hmt:e3bifolio.E3_142v_143r,9
urn:cite:hmt:e3footnotes.11-116,urn:cts:greekLit:tlg5026.e3.hmt:11.114,urn:cts:greekLit:tlg0012.tlg001.e3:11.306@ἀργεστᾶο,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.2628,0.5925,0.0167,0.0233",10,urn:cite:hmt:e3bifolio.E3_142v_143r,10
urn:cite:hmt:e3footnotes.11-117,urn:cts:greekLit:tlg5026.e3.hmt:11.115,urn:cts:greekLit:tlg0012.tlg001.e3:11.307@πολλὸν,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.2417,0.6087,0.0167,0.0233",11,urn:cite:hmt:e3bifolio.E3_142v_143r,11
urn:cite:hmt:e3footnotes.11-118,urn:cts:greekLit:tlg5026.e3.hmt:11.116,urn:cts:greekLit:tlg0012.tlg001.e3:11.308@πολυπλάγκτοιο,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.3828,0.6187,0.0167,0.0233",12,urn:cite:hmt:e3bifolio.E3_142v_143r,12
urn:cite:hmt:e3footnotes.11-119,urn:cts:greekLit:tlg5026.e3.hmt:11.117,urn:cts:greekLit:tlg0012.tlg001.e3:11.313@Τυδείδη,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.2583,0.7049,0.0167,0.0233",13,urn:cite:hmt:e3bifolio.E3_142v_143r,13
urn:cite:hmt:e3footnotes.11-120,urn:cts:greekLit:tlg5026.e3.hmt:11.118,urn:cts:greekLit:tlg0012.tlg001.e3:11.314@ἔλεγχος,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.6922,0.3283,0.0138,0.0178",14,urn:cite:hmt:e3bifolio.E3_142v_143r,14
urn:cite:hmt:e3footnotes.11-121,urn:cts:greekLit:tlg5026.e3.hmt:11.119,urn:cts:greekLit:tlg0012.tlg001.e3:11.317@μενέω,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.5362,0.3837,0.0138,0.0178",15,urn:cite:hmt:e3bifolio.E3_142v_143r,15
urn:cite:hmt:e3footnotes.11-122,urn:cts:greekLit:tlg5026.e3.hmt:11.120,urn:cts:greekLit:tlg0012.tlg001.e3:11.318@ἔσσεται,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.5555,0.4015,0.0138,0.0178",16,urn:cite:hmt:e3bifolio.E3_142v_143r,16
urn:cite:hmt:e3footnotes.11-123,urn:cts:greekLit:tlg5026.e3.hmt:11.121,urn:cts:greekLit:tlg0012.tlg001.e3:11.327@φεύγοντες,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.5629,0.5536,0.0138,0.0178",17,urn:cite:hmt:e3bifolio.E3_142v_143r,17
urn:cite:hmt:e3footnotes.11-124,urn:cts:greekLit:tlg5026.e3.hmt:11.122,urn:cts:greekLit:tlg0012.tlg001.e3:11.332@πειθέσθην,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.5392,0.6379,0.0138,0.0178",18,urn:cite:hmt:e3bifolio.E3_142v_143r,18
urn:cite:hmt:e3footnotes.11-125,urn:cts:greekLit:tlg5026.e3.hmt:11.123,urn:cts:greekLit:tlg0012.tlg001.e3:11.336@κατὰ ἶσα,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.5811,0.7082,0.0138,0.0178",19,urn:cite:hmt:e3bifolio.E3_142v_143r,19
urn:cite:hmt:e3footnotes.11-126,urn:cts:greekLit:tlg5026.e3.hmt:11.124,urn:cts:greekLit:tlg0012.tlg001.e3:11.346@ἐγγὺς,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.391,0.4595,0.0167,0.0175",1,urn:cite:hmt:e3bifolio.E3_143v_144r,1
urn:cite:hmt:e3footnotes.11-127,urn:cts:greekLit:tlg5026.e3.hmt:11.125,urn:cts:greekLit:tlg0012.tlg001.e3:11.347@κυλίνδεται,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.3393,0.4774,0.0167,0.0175",2,urn:cite:hmt:e3bifolio.E3_143v_144r,2
urn:cite:hmt:e3footnotes.11-128,urn:cts:greekLit:tlg5026.e3.hmt:11.126,urn:cts:greekLit:tlg0012.tlg001.e3:11.348@στέωμεν,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.2993,0.4953,0.0167,0.0175",3,urn:cite:hmt:e3bifolio.E3_143v_144r,3
urn:cite:hmt:e3footnotes.11-129,urn:cts:greekLit:tlg5026.e3.hmt:11.127,urn:cts:greekLit:tlg0012.tlg001.e3:11.355@γνὺξ,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.2661,0.6123,0.0167,0.0175",4,urn:cite:hmt:e3bifolio.E3_143v_144r,4
urn:cite:hmt:e3footnotes.11-130,urn:cts:greekLit:tlg5026.e3.hmt:11.128,urn:cts:greekLit:tlg0012.tlg001.e3:11.357@ἐρωὴν,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.4074,0.6436,0.0167,0.0175",5,urn:cite:hmt:e3bifolio.E3_143v_144r,5
urn:cite:hmt:e3footnotes.11-131,urn:cts:greekLit:tlg5026.e3.hmt:11.129,urn:cts:greekLit:tlg0012.tlg001.e3:11.358@καταείσατο,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.3707,0.6611,0.0167,0.0175",6,urn:cite:hmt:e3bifolio.E3_143v_144r,6
urn:cite:hmt:e3footnotes.11-132,urn:cts:greekLit:tlg5026.e3.hmt:11.130,urn:cts:greekLit:tlg0012.tlg001.e3:11.362@ἐξ αῦ,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.4935,0.3256,0.0165,0.0223",7,urn:cite:hmt:e3bifolio.E3_143v_144r,7
urn:cite:hmt:e3footnotes.11-133,urn:cts:greekLit:tlg5026.e3.hmt:11.131,urn:cts:greekLit:tlg0012.tlg001.e3:11.365@ἐξανύω,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.5307,0.379,0.0165,0.0223",8,urn:cite:hmt:e3bifolio.E3_143v_144r,8
urn:cite:hmt:e3footnotes.11-134,urn:cts:greekLit:tlg5026.e3.hmt:11.132,urn:cts:greekLit:tlg0012.tlg001.e3:11.369@Ἀλέξανδρος,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.5351,0.4315,0.0165,0.0223",9,urn:cite:hmt:e3bifolio.E3_143v_144r,9
urn:cite:hmt:e3footnotes.11-135,urn:cts:greekLit:tlg5026.e3.hmt:11.133,urn:cts:greekLit:tlg0012.tlg001.e3:11.371@κεκλιμένος,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.5337,0.4637,0.0165,0.0223",10,urn:cite:hmt:e3bifolio.E3_143v_144r,10
urn:cite:hmt:e3footnotes.11-136,urn:cts:greekLit:tlg5026.e3.hmt:11.134,urn:cts:greekLit:tlg0012.tlg001.e3:11.372@δημογέροντος,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.641,0.4835,0.0165,0.0223",11,urn:cite:hmt:e3bifolio.E3_143v_144r,11
,urn:cts:greekLit:tlg5026.e3.hmt:11.135,,"",,,
urn:cite:hmt:e3footnotes.11-137,urn:cts:greekLit:tlg5026.e3.hmt:11.136,urn:cts:greekLit:tlg0012.tlg001.e3:11.375@ἄνειλκε,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.6729,0.5373,0.0165,0.0223",12,urn:cite:hmt:e3bifolio.E3_143v_144r,12
urn:cite:hmt:e3footnotes.11-138,urn:cts:greekLit:tlg5026.e3.hmt:11.137,urn:cts:greekLit:tlg0012.tlg001.e3:11.379@ἐκ λόχου,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.5158,0.5993,0.0165,0.0223",13,urn:cite:hmt:e3bifolio.E3_143v_144r,13
urn:cite:hmt:e3footnotes.11-139,urn:cts:greekLit:tlg5026.e3.hmt:11.138,urn:cts:greekLit:tlg0012.tlg001.e3:11.383@μηκάδες,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.6305,0.6716,0.0165,0.0223",14,urn:cite:hmt:e3bifolio.E3_143v_144r,14
urn:cite:hmt:e3footnotes.11-140,urn:cts:greekLit:tlg5026.e3.hmt:11.139,urn:cts:greekLit:tlg0012.tlg001.e3:11.385@τοξότα,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.5059,0.7002,0.0165,0.0223",15,urn:cite:hmt:e3bifolio.E3_143v_144r,15
urn:cite:hmt:e3footnotes.11-141,urn:cts:greekLit:tlg5026.e3.hmt:11.140,urn:cts:greekLit:tlg0012.tlg001.e3:11.386@ἀντίβιον,"urn:cite:hmt:e3bifolio.E3_143v_144r@0.5486,0.7204,0.0165,0.0223",16,urn:cite:hmt:e3bifolio.E3_143v_144r,16
urn:cite:hmt:e3footnotes.11-142,urn:cts:greekLit:tlg5026.e3.hmt:11.141,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-143,urn:cts:greekLit:tlg5026.e3.hmt:11.142,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-144,urn:cts:greekLit:tlg5026.e3.hmt:11.143,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-145,urn:cts:greekLit:tlg5026.e3.hmt:11.144,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-146,urn:cts:greekLit:tlg5026.e3.hmt:11.145,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-147,urn:cts:greekLit:tlg5026.e3.hmt:11.146,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-148,urn:cts:greekLit:tlg5026.e3.hmt:11.147,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-149,urn:cts:greekLit:tlg5026.e3.hmt:11.148,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-150,urn:cts:greekLit:tlg5026.e3.hmt:11.149,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-151,urn:cts:greekLit:tlg5026.e3.hmt:11.150,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-152,urn:cts:greekLit:tlg5026.e3.hmt:11.151,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-153,urn:cts:greekLit:tlg5026.e3.hmt:11.152,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-154,urn:cts:greekLit:tlg5026.e3.hmt:11.153,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-155,urn:cts:greekLit:tlg5026.e3.hmt:11.154,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-156,urn:cts:greekLit:tlg5026.e3.hmt:11.155,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-157,urn:cts:greekLit:tlg5026.e3.hmt:11.156,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-158,urn:cts:greekLit:tlg5026.e3.hmt:11.157,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,,
urn:cite:hmt:e3footnotes.11-159,urn:cts:greekLit:tlg5026.e3.hmt:11.158,urn:cts:greekLit:tlg0012.tlg001.e3:11.437@χρόα,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.3376,0.3609,0.0131,0.0164",1,urn:cite:hmt:e3bifolio.E3_145v_146r,1
urn:cite:hmt:e3footnotes.11-160,urn:cts:greekLit:tlg5026.e3.hmt:11.159,urn:cts:greekLit:tlg0012.tlg001.e3:11.439@γνῶ,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.2381,0.3928,0.0131,0.0164",2,urn:cite:hmt:e3bifolio.E3_145v_146r,2
urn:cite:hmt:e3footnotes.11-161,urn:cts:greekLit:tlg5026.e3.hmt:11.160,urn:cts:greekLit:tlg0012.tlg001.e3:11.446@φύγαδ᾽,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.2917,0.5068,0.0131,0.0164",3,urn:cite:hmt:e3bifolio.E3_145v_146r,3
urn:cite:hmt:e3footnotes.11-162,urn:cts:greekLit:tlg5026.e3.hmt:11.161,urn:cts:greekLit:tlg0012.tlg001.e3:11.451@φθῆ,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.239,0.5885,0.0131,0.0164",4,urn:cite:hmt:e3bifolio.E3_145v_146r,4
urn:cite:hmt:e3footnotes.11-163,urn:cts:greekLit:tlg5026.e3.hmt:11.162,urn:cts:greekLit:tlg0012.tlg001.e3:11.455@εί κε θάνω,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.2807,0.6564,0.0131,0.0164",5,urn:cite:hmt:e3bifolio.E3_145v_146r,5
urn:cite:hmt:e3footnotes.11-164,urn:cts:greekLit:tlg5026.e3.hmt:11.163,urn:cts:greekLit:tlg0012.tlg001.e3:11.457@χροὸς,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.2804,0.6902,0.0131,0.0164",6,urn:cite:hmt:e3bifolio.E3_145v_146r,6
urn:cite:hmt:e3footnotes.11-165,urn:cts:greekLit:tlg5026.e3.hmt:11.164,urn:cts:greekLit:tlg0012.tlg001.e3:11.458@ἀνέσσυτο,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.3467,0.7057,0.0131,0.0164",7,urn:cite:hmt:e3bifolio.E3_145v_146r,7
urn:cite:hmt:e3footnotes.11-166,urn:cts:greekLit:tlg5026.e3.hmt:11.165,urn:cts:greekLit:tlg0012.tlg001.e3:11.459@ἴδον,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.617,0.3252,0.0176,0.0143",8,urn:cite:hmt:e3bifolio.E3_145v_146r,8
urn:cite:hmt:e3footnotes.11-167,urn:cts:greekLit:tlg5026.e3.hmt:11.166,urn:cts:greekLit:tlg0012.tlg001.e3:11.461@ἐξοπίσω,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.5599,0.3633,0.0176,0.0143",9,urn:cite:hmt:e3bifolio.E3_145v_146r,9
urn:cite:hmt:e3footnotes.11-168,urn:cts:greekLit:tlg5026.e3.hmt:11.167,urn:cts:greekLit:tlg0012.tlg001.e3:11.462@χάδε,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.6705,0.3781,0.0176,0.0143",10,urn:cite:hmt:e3bifolio.E3_145v_146r,10
urn:cite:hmt:e3footnotes.11-169,urn:cts:greekLit:tlg5026.e3.hmt:11.168,urn:cts:greekLit:tlg0012.tlg001.e3:11.463@ἀρηί̈ φίλος,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.6018,0.3969,0.0176,0.0143",11,urn:cite:hmt:e3bifolio.E3_145v_146r,11
urn:cite:hmt:e3footnotes.11-170,urn:cts:greekLit:tlg5026.e3.hmt:11.169,urn:cts:greekLit:tlg0012.tlg001.e3:11.464@ἐγγὺς,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.6442,0.4153,0.0176,0.0143",12,urn:cite:hmt:e3bifolio.E3_145v_146r,12
urn:cite:hmt:e3footnotes.11-171,urn:cts:greekLit:tlg5026.e3.hmt:11.170,urn:cts:greekLit:tlg0012.tlg001.e3:11.467@ἰκέλη,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.5238,0.4659,0.0176,0.0143",13,urn:cite:hmt:e3bifolio.E3_145v_146r,13
urn:cite:hmt:e3footnotes.11-172,urn:cts:greekLit:tlg5026.e3.hmt:11.171,urn:cts:greekLit:tlg0012.tlg001.e3:11.469@ἀλεξέμεναι,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.646,0.5004,0.0176,0.0143",14,urn:cite:hmt:e3bifolio.E3_145v_146r,14
urn:cite:hmt:e3footnotes.11-173,urn:cts:greekLit:tlg5026.e3.hmt:11.172,urn:cts:greekLit:tlg0012.tlg001.e3:11.475@κεραὸν,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.5554,0.6017,0.0176,0.0143",15,urn:cite:hmt:e3bifolio.E3_145v_146r,15
urn:cite:hmt:e3footnotes.11-174,urn:cts:greekLit:tlg5026.e3.hmt:11.173,urn:cts:greekLit:tlg0012.tlg001.e3:11.478@δαμάσσεται,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.5856,0.6559,0.0176,0.0143",16,urn:cite:hmt:e3bifolio.E3_145v_146r,16
urn:cite:hmt:e3footnotes.11-175,urn:cts:greekLit:tlg5026.e3.hmt:11.174,urn:cts:greekLit:tlg0012.tlg001.e3:11.484@ἀΐσσων,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.2646,0.3548,0.0135,0.0179",1,urn:cite:hmt:e3bifolio.E3_146v_147r,1
urn:cite:hmt:e3footnotes.11-176,urn:cts:greekLit:tlg5026.e3.hmt:11.175,urn:cts:greekLit:tlg0012.tlg001.e3:11.488@εἵος,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.3136,0.4198,0.0135,0.0179",2,urn:cite:hmt:e3bifolio.E3_146v_147r,2
urn:cite:hmt:e3footnotes.11-177,urn:cts:greekLit:tlg5026.e3.hmt:11.176,urn:cts:greekLit:tlg0012.tlg001.e3:11.490@Πριαμίδην,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.2642,0.4552,0.0135,0.0179",3,urn:cite:hmt:e3bifolio.E3_146v_147r,3
urn:cite:hmt:e3footnotes.11-178,urn:cts:greekLit:tlg5026.e3.hmt:11.177,urn:cts:greekLit:tlg0012.tlg001.e3:11.492@κάτεισι,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.4235,0.4896,0.0135,0.0179",4,urn:cite:hmt:e3bifolio.E3_146v_147r,4
urn:cite:hmt:e3footnotes.11-179,urn:cts:greekLit:tlg5026.e3.hmt:11.178,urn:cts:greekLit:tlg0012.tlg001.e3:11.494@ἀζαλέας,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.3274,0.5066,0.0135,0.0179",5,urn:cite:hmt:e3bifolio.E3_146v_147r,5
urn:cite:hmt:e3footnotes.11-180,urn:cts:greekLit:tlg5026.e3.hmt:11.179,urn:cts:greekLit:tlg0012.tlg001.e3:11.504@κελεύθου,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.3594,0.672,0.0135,0.0179",6,urn:cite:hmt:e3bifolio.E3_146v_147r,6
,urn:cts:greekLit:tlg5026.e3.hmt:11.180,,"",,,
urn:cite:hmt:e3footnotes.11-181,urn:cts:greekLit:tlg5026.e3.hmt:11.181,urn:cts:greekLit:tlg0012.tlg001.e3:11.507@ὦμον,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.6711,0.3474,0.0125,0.0157",7,urn:cite:hmt:e3bifolio.E3_146v_147r,7
urn:cite:hmt:e3footnotes.11-182,urn:cts:greekLit:tlg5026.e3.hmt:11.182,urn:cts:greekLit:tlg0012.tlg001.e3:11.509@μετακλινθέντος,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.6147,0.3801,0.0125,0.0157",8,urn:cite:hmt:e3bifolio.E3_146v_147r,8
urn:cite:hmt:e3footnotes.11-183,urn:cts:greekLit:tlg5026.e3.hmt:11.183,urn:cts:greekLit:tlg0012.tlg001.e3:11.510@προσεφώνεε,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.6051,0.3963,0.0162,0.0191",9,urn:cite:hmt:e3bifolio.E3_146v_147r,9
urn:cite:hmt:e3footnotes.11-184,urn:cts:greekLit:tlg5026.e3.hmt:11.184,urn:cts:greekLit:tlg0012.tlg001.e3:11.512@ἄγρει,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.5011,0.4248,0.0162,0.0191",10,urn:cite:hmt:e3bifolio.E3_146v_147r,10
urn:cite:hmt:e3footnotes.11-185,urn:cts:greekLit:tlg5026.e3.hmt:11.185,urn:cts:greekLit:tlg0012.tlg001.e3:11.515@ἰούς,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.4917,0.4749,0.0162,0.0191",11,urn:cite:hmt:e3bifolio.E3_146v_147r,11
urn:cite:hmt:e3footnotes.11-186,urn:cts:greekLit:tlg5026.e3.hmt:11.186,urn:cts:greekLit:tlg0012.tlg001.e3:11.519@μάστιξεν,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.5039,0.5421,0.0162,0.0191",12,urn:cite:hmt:e3bifolio.E3_146v_147r,12
urn:cite:hmt:e3footnotes.11-187,urn:cts:greekLit:tlg5026.e3.hmt:11.187,urn:cts:greekLit:tlg0012.tlg001.e3:11.529@προβαλόντες,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.6266,0.7201,0.0162,0.0191",13,urn:cite:hmt:e3bifolio.E3_146v_147r,13
